,current_price,open,high,low,close,volume
75,1363.10,"1,363.90","1,364.00","1,363.10","1,363.10",21.57k
76,1363.10,"1,363.90","1,364.00","1,363.10","1,363.10",21.57k
77,1364.75,"1,363.10","1,365.00","1,362.35","1,364.75",53.27k
78,1365.80,"1,364.50","1,366.15","1,364.20","1,365.80",60.84k
79,1365.80,"1,364.50","1,366.15","1,364.20","1,365.80",60.84k
80,1366.95,"1,365.85","1,367.05","1,365.50","1,366.95",44.05k
81,1367.00,"1,366.95","1,367.60","1,366.20","1,367.00",39.93k
82,1367.00,"1,366.95","1,367.60","1,366.20","1,367.00",39.93k
83,1367.00,"1,367.20","1,367.35","1,366.45","1,367.00",2255k
84,1367.25,"1,366.95","1,368.75","1,366.95","1,367.25",60.00k
85,1365.25,"1,366.95","1,367.15","1,364.85","1,365.25",44.21k
86,1365.25,"1,366.95","1,367.15","1,364.85","1,365.25",44.21k
87,1363.45,"1,365.00","1,365.60","1,363.45","1,363.45",34.79k
88,1362.60,"1,363.45","1,363.85","1,362.50","1,362.60",34.20k
89,1362.60,"1,363.45","1,363.85","1,362.50","1,362.60",34.20k
90,1363.50,"1,362.95","1,363.80","1,362.00","1,363.50",31.49k
91,1363.70,"1,363.45","1,364.25","1,363.45","1,363.70",15.86k
92,1363.70,"1,363.45","1,364.25","1,363.45","1,363.70",15.86k
93,1363.30,"1,363.60","1,363.70","1,363.20","1,363.30",14.53k
94,1366.45,"1,363.40","1,366.90","1,363.30","1,366.45",47.42k
