Name
Reliance Industries Limited
Tata Consultancy Services Limited
HDFC Bank Limited
ICICI Bank Limited
Hindustan Unilever Limited
Infosys Limited
Housing Development Finance Corporation Limited
ITC Limited
State Bank of India
Bharti Airtel Limited
Kotak Mahindra Bank Limited
Bajaj Finance Limited
Life Insurance Corporation Of India
Larsen & Toubro Limited
HCL Technologies Limited
Asian Paints Limited
Axis Bank Limited
Maruti Suzuki India Limited
Sun Pharmaceutical Industries Limited
Titan Company Limited
Avenue Supermarts Limited
UltraTech Cement Limited
Bajaj Finserv Limited
Wipro Limited
Adani Enterprises Limited
Oil & Natural Gas Corporation Limited
NTPC Limited
JSW Steel Limited
Power Grid Corporation of India Limited
Mahindra & Mahindra Limited
LTIMindtree Limited
Tata Motors Limited
Adani Green Energy Limited
Adani Ports and Special Economic Zone Limited
Coal India Limited
Tata Steel Limited
Hindustan Zinc Limited
Pidilite Industries Limited
Siemens Limited
Adani Transmission Limited
SBI Life Insurance Company Limited
Indian Oil Corporation Limited
Bajaj Auto Limited
Grasim Industries Limited
Tech Mahindra Limited
HDFC Life Insurance Company Limited
Britannia Industries Limited
Vedanta Limited
Godrej Consumer Products Limited
Dabur India Limited
Adani Total Gas Limited
SHREE CEMENT LIMITED
Hindustan Aeronautics Limited
Hindalco Industries Limited
Varun Beverages Limited
DLF Limited
Bank of Baroda
IndusInd Bank Limited
Eicher Motors Limited
Dr. Reddy's Laboratories Limited
Divi's Laboratories Limited
Bharat Petroleum Corporation Limited
Havells India Limited
Adani Power Limited
InterGlobe Aviation Limited
Cipla Limited
Ambuja Cements Limited
SRF Limited
ABB India Limited
Bharat Electronics Limited
SBI Cards and Payment Services Limited
GAIL (India) Limited
Bajaj Holdings & Investment Limited
TATA CONSUMER PRODUCTS LIMITED
ICICI Prudential Life Insurance Company Limited
Cholamandalam Investment and Finance Company Limited
Marico Limited
Apollo Hospitals Enterprise Limited
Tata Power Company Limited
Bosch Limited
Berger Paints (I) Limited
Jindal Steel & Power Limited
United Spirits Limited
UPL Limited
Adani Wilmar Limited
